@@,itemlabel,item,startdate,enddate
---,Димитър Греков,Q956477,,
---,Петър Младенов,Q81144,,
---,Теодор Теодоров,Q720881,,
---,Стоян Данев,Q713517,,
---,Димитър Тончев,Q6213130,,
---,Стефан Паприков,Q6035129,,
---,Георги Кулишев,Q4602838,,
---,Иван Башев,Q455499,,
---,Васил Радославов,Q454661,,
---,Бойко Димитров (политик),Q4161708,,
---,Димитър Шишманов,Q3658236,,
---,Григор Начович,Q3658170,,
---,Васил Коларов,Q350248,,
---,Владимир Поптомов,Q3399650,,
---,Минчо Нейчев,Q2547726,,
---,Петко Стайнов,Q2025481,,
---,Никола Генадиев,Q1990579,,
---,Карло Луканов,Q1969393,,
---,Тодор Иванчов,Q1376655,,
---,Никола Мушанов,Q1337846,,
---,Христо Стоянов,Q12298469,,
---,Сава Киров,Q12292843,,
---,Първан Драганов,Q12291818,,
---,Никола Стойчев (политик),Q12288569,,
---,Михаил Маджаров,Q12287095,,
---,Марко Балабанов,Q12286181,,
---,Константин Батолов,Q12283515,,
---,Илия Цанов,Q12281663,,
---,Иван Попов (дипломат),Q12281140,,
---,Владимир Башев,Q12275398,,
---,Димитър Станчов,Q1225846,,
---,Драган Цанков,Q521116,1880-03-26,1880-11-28
---,Константин Стоилов,Q523488,1881-07-01,1881-07-30
---,Георги Вълкович,Q3657806,1881-07-30,1883-01-14
---,Константин Стоилов,Q523488,1883-01-14,1883-03-03
---,Константин Стоилов,Q523488,1886-08-12,1886-08-16
---,Георги Странски,Q438829,1887-08-20,1890-06-04
---,Константин Стоилов,Q523488,1896-02-10,1899-01-18
---,Александър Малинов,Q459632,1910-09-05,1911-03-16
---,Иван Евстратиев Гешов,Q523393,1911-03-16,1913-06-01
---,Васил Радославов,Q454661,1913-12-17,1918-06-21
---,Александър Малинов,Q459632,1918-06-21,1918-10-17
---,Александър Стамболийски,Q313535,1920-04-16,1923-06-09
---,Христо Калфов,Q9191113,1923-06-10,1926-01-04
---,Атанас Буров,Q371654,1926-01-04,1931-06-29
---,Александър Малинов,Q459632,1931-06-29,1931-10-12
---,Константин Муравиев,Q704422,1944-09-02,1944-09-09
+++,Васил Коларов,Q350248,1947-07-20,1949-08-06
+++,Васил Коларов,Q350248,1947-12-12,1947-07-20
+++,Владимир Поптомов,Q3399650,1949-08-06,1950-01-20
+++,Владимир Поптомов,Q3399650,1950-01-20,1950-05-28
+++,Минчо Нейчев,Q2547726,1950-05-28,1954-01-20
+++,Минчо Нейчев,Q2547726,1954-01-20,1956-04-18
+++,Минчо Нейчев,Q2547726,1956-04-18,1956-08-20
+++,Карло Луканов,Q1969393,1956-08-20,1958-01-15
+++,Карло Луканов,Q1969393,1958-01-15,1962-03-17
+++,Карло Луканов,Q1969393,1962-03-17,1962-11-27
+++,Иван Башев,Q455499,1962-11-27,1966-03-12
+++,Иван Башев,Q455499,1966-03-12,1971-07-09
+++,Иван Башев,Q455499,1971-07-09,1971-12-17
+++,Петър Младенов,Q81144,1971-12-17,1976-06-17
+++,Петър Младенов,Q81144,1976-06-17,1981-06-18
+++,Петър Младенов,Q81144,1981-06-18,1986-06-19
+++,Петър Младенов,Q81144,1986-06-19,1989-11-17
+++,Бойко Димитров,Q4161708,1989-11-17,1990-02-08
+++,Бойко Димитров,Q4161708,1990-02-08,1990-09-21
->,Надежда Нейнски->Надежда Михайлова,Q432093,1997-05-21,2001-07-24
->,Ивайло Калфин,Q1281454,2005-08-17->2005-08-16,2009-07-27
->,Даниел Митов,Q12277630,2014-08-06,2017-01-27->2014-11-07
+++,Даниел Митов,Q12277630,2014-11-07,2017-01-27
->,Светлан Стоев,Q106812725,2021-05-12,2021-12-13->2021-09-16
+++,Светлан Стоев,Q106812725,2021-09-16,2021-12-13
->,Любен Гоцев,Q3657826,NULL->1990-09-21,NULL->1990-12-20
->,Виктор Вълков,Q3657811,NULL->1990-12-20,NULL->1991-11-08
->,Стоян Ганев,Q563229,NULL->1991-11-08,NULL->1992-12-30
->,Любен Беров,Q704197,NULL->1992-12-30,NULL->1993-06-23
->,Станислав Даскалов,Q4155172,NULL->1993-06-23,NULL->1994-10-17
->,Иван Станчов,Q3623121,NULL->1994-10-17,NULL->1995-01-25
->,Георги Пирински,Q1509254,NULL->1995-01-25,NULL->1996-11-14
->,Ирина Бокова,Q230850,NULL->1996-11-14,NULL->1997-02-12
->,Стоян Сталев,Q455744,NULL->1997-02-12,NULL->1997-05-21
->,Соломон Паси,Q1371792,NULL->2001-07-24,NULL->2005-08-16
->,Марин Райков,Q7083153,NULL->2013-03-13,NULL->2013-05-29
