@@,item,itemlabel,startdate,enddate
->,Q106928671,Андрей Кузманов,2021-05-12,2021-12-13->2021-09-16
+++,Q106928671,Андрей Кузманов,2021-09-16,2021-12-13
+++,Q110153996,Радостин Василев,2021-12-13,2022-06-10
+++,,???,2022-06-10,
