@@,itemlabel,item,startdate,enddate
---,Людмила Живкова,Q446534,1971-07-09,1981-07-21
---,Ивайло Знеполски,Q12280659,1993-06-23,1995-01-25
+++,Вежди Рашидов,Q2064558,2009-07-27,2013-03-13
->,Ивайло Знеполски->Владимир Пенев,Q12280659->Q12275473,2013-03-13,2013-05-29
+++,Вежди Рашидов,Q2064558,2014-11-07,2017-01-27
->,Велислав Минеков,Q58660831,2021-05-12,2021-12-13->2021-09-16
+++,Велислав Минеков,Q58660831,2021-09-16,2021-12-13
->,Атанас Атанасов (политик)->Атанас Атанасов,Q12272540->Q110090126,2021-12-13,
