item,itemLabel,startDate,endDate,sourceDate,psid
Q362129,Ivan Kostov,1997-05-21,2001-07-24,,Q362129-249de327-4cd4-b644-2657-042f998356d7
Q1060355,Simeon Sakskoburggotski,2001-07-24,2005-08-17,2022-05-28,q1060355-0936b721-4fb3-a832-e215-a47c7c31a545
Q202117,Sergey Stanishev,2005-08-17,2009-07-27,2022-05-28,Q202117-62D7317F-8A92-47A0-8D8F-45B65E863122
Q57775,Boyko Borisov,2009-07-27,2013-03-13,,q57775-175452b9-449e-9b0b-078e-22aa98134a2e
Q7083153,Marin Raykov,2013-03-13,2013-05-29,,Q7083153-74514bf5-4e51-1dbb-aa93-7fc8b095057f
Q11832497,Plamen Oresharski,2013-05-29,2014-08-06,,Q11832497-df56098f-4ea2-65ec-84a9-3835ca000b7b
Q5547113,Georgi Bliznashki,2014-08-06,2014-11-07,,Q5547113-434c0cb0-490c-777b-c601-191d4e61c9a8
Q57775,Boyko Borisov,2014-11-07,2017-01-27,,Q57775-d56ed2d9-4951-a528-c287-9dffd691ce98
Q12289150,Ognyan Gerdzhikov,2017-01-27,2017-05-04,,Q12289150-40d7d933-4a4a-af83-7c5d-1e29aee18f77
Q57775,Boyko Borisov,2017-05-04,2021-05-12,,Q57775-0ea69733-48ec-e55c-51b4-acefc4e4976d
Q28055319,Stefan Yanev,2021-05-12,2021-12-13,2022-05-28,Q28055319-EAB91FF5-0FA7-4C60-8ACC-5D97209FA966
Q106928258,Kiril Petkov,2021-12-13,,,Q106928258-533bd4e9-4c78-64fd-a616-4e0e082dfae9
