item,itemLabel,startDate,endDate
Q600326,Стефан Данаилов,2005-08-16,2009-07-27
Q2064558,Вежди Рашидов,2009-07-27,2013-03-13
Q12275473,Владимир Пенев,2013-03-13,2013-05-29
Q12290597,Петър Стоянович,2013-05-29,2014-08-06
Q17409338,Мартин Иванов,2014-08-06,2014-11-07
Q2064558,Вежди Рашидов,2014-11-07,2017-01-27
Q12292199,Рашко Младенов,2017-01-27,2017-05-04
Q42405440,Боил Банов,2017-05-04,2021-05-12
Q58660831,Велислав Минеков,2021-05-12,2021-09-16
Q58660831,Велислав Минеков,2021-09-16,2021-12-13
Q110090126,Атанас Атанасов,2021-12-13,
