@@,item,itemlabel,position,positionlabel,startdate,enddate
->,Q110153962,Alexander Nikolov,Q20499298,Minister of Energy,2021-12-13,NULL->2022-06-08
->,Q110071439,Grozdan Karadjov,Q107657466,Minister of Regional Development and Public Works,2021-12-13,NULL->2022-06-08
->,Q110071439,Grozdan Karadjov,Q12280307,Deputy Prime Minister for Regional Development and Public Works,2021-12-13,NULL->2022-06-08
->,Q28536878,Nikolai Denkov,Q25478039,Minister of Education and Science,2021-05-12->2021-12-13,
->,Q110153996,Radostin Vassilev,Q110153998,Minister of Sports,2021-12-13,NULL->2022-06-08
->,Q110089977,Teodora Genchovska,Q15916856,Minister of Foreign Affairs,2021-12-13,NULL->2022-06-08
