item,itemLabel,startDate,endDate,sourceDate,psid
Q4427187,Yordan Sokolov,1997-05-07,2001-04-19,2022-05-28,Q4427187-7E6C33E9-2BBF-4956-A3D9-5775B3C3416E
Q12289150,Ognyan Gerdzhikov,2001-07-05,2005-02-04,,Q12289150-d51e785b-4eaa-f84c-d89d-e33cd3f1890d
Q9177631,Borislav Velikov,2005-02-23,2005-06-17,2022-05-28,Q9177631-A72C4DBD-4FC5-4B48-8806-089054F463BA
Q1509254,Georgi Pirinski,2005-07-11,2009-06-25,2022-05-28,Q1509254-EE589350-BAB3-408C-945E-D51304E7720E
Q3656586,Tsetska Tsacheva,2009-07-14,2013-03-13,,Q3656586-4F34B7B5-D15A-462A-9337-5ABFF20617DB
Q11778487,Mihail Mikov,2013-05-21,2014-08-06,2022-05-28,Q11778487-47A062AE-CC02-4F64-B209-0E83A0ABCA14
Q3656586,Tsetska Tsacheva,2014-10-27,2017-01-26,,Q3656586-08BA8ED8-0B18-4463-96BA-AB56BDBC6A57
Q12278288,Dimitar Glavchev,2017-04-19,2017-11-17,2022-05-28,Q12278288-26F602EF-4B73-45C3-A6A7-9CD058DC093C
Q17409350,Tsveta Karayancheva,2017-11-17,2021-03-25,,Q17409350-D4B29F77-E1B2-44AF-A864-133644969187
Q106506653,Iva Miteva,2021-04-14,2021-05-11,,Q106506653-CB9D2CB3-D092-4301-9F79-CD4B3F4A7309
Q106506653,Iva Miteva,2021-07-21,2021-09-16,,Q106506653-BDB6CBD0-D7C6-45E6-AC98-70DFDDCF746D
Q109918947,Nikola Minchev,2021-12-03,2022-06-16,,Q109918947-0CB972D6-2E03-46F1-8AE1-2C38C15EB55E
Q112597518,Miroslav Ivanov,2022-06-16,,,Q112597518-f693712a-400e-6daf-1ff6-64c313f3c121
