@@,item,itemlabel,startdate,enddate
+++,,Todor Ikonomov,1881-07-01,
+++,,Naycho Tsanov,1919-10-10,
->,Q106506653,Iva Miteva,2021-04-14->2021-04-15,2021-05-11
->,Q109918947,Nikola Minchev,2021-12-03->2021-12-02,
