item,itemLabel,startDate,endDate
,Todor Ikonomov,1881-07-01,
,Naycho Tsanov,1919-10-10,
Q4427187,Yordan Sokolov,1997-05-07,2001-04-19
Q12289150,Ognyan Gerdzhikov,2001-07-05,2005-02-04
,Borislav Velikov,2005-02-23,2005-06-17
Q1509254,Georgi Pirinski,2005-07-11,2009-06-25
Q3656586,Tsetska Tsacheva,2009-07-14,2013-03-13
Q11778487,Mihail Mikov,2013-05-21,2014-08-06
Q3656586,Tsetska Tsacheva,2014-10-27,2017-01-26
,Dimitar Glavchev,2017-04-19,2017-11-17
Q17409350,Tsveta Karayancheva,2017-11-17,2021-03-25
Q106506653,Iva Miteva,2021-04-15,2021-05-11
Q106506653,Iva Miteva,2021-07-21,2021-09-16
Q109918947,Nikola Minchev,2021-12-02,
